date,AAPL,AMD,CRM,FB,IBM,INTL,MMM,MSFT,MSI,NVDA,ORCL,QCOM,SAP,SYMC,TDC,VMW
2018-04-19,172.8000030517578,10.109999656677246,124.05999755859375,168.10000610351562,147.6999969482422,45.709999084472656,218.85000610351562,96.11000061035156,110.70999908447266,229.0399932861328,46.81999969482422,52.56999969482422,107.87000274658203,27.850000381469727,41.40999984741211,135.58999633789062
2018-04-20,165.72000122070312,9.989999771118164,122.81999969482422,166.27999877929688,144.89999389648438,45.72999954223633,217.75,95.0,110.56999969482422,228.7100067138672,46.22999954223633,51.439998626708984,106.0,27.709999084472656,40.93000030517578,136.0500030517578
2018-04-23,165.24000549316406,10.039999961853027,121.88999938964844,165.83999633789062,145.86000061035156,45.56999969482422,215.8800048828125,95.3499984741211,109.81999969482422,223.8800048828125,45.79999923706055,50.529998779296875,105.9800033569336,27.760000228881836,40.61000061035156,135.02000427246094
2018-04-24,162.94000244140625,10.09000015258789,117.87999725341797,159.69000244140625,145.55999755859375,45.540000915527344,201.1300048828125,93.12000274658203,109.63999938964844,221.1999969482422,45.529998779296875,49.939998626708984,108.5,27.690000534057617,40.25,133.9600067138672
2018-04-25,163.64999389648438,9.710000038146973,117.31999969482422,159.69000244140625,145.94000244140625,45.43000030517578,198.83999633789062,92.30999755859375,109.41999816894531,216.66000366210938,45.75,49.75,108.88999938964844,28.479999542236328,40.130001068115234,131.6199951171875
2018-04-26,164.22000122070312,11.039999961853027,120.83000183105469,174.16000366210938,146.72000122070312,45.029998779296875,197.08999633789062,94.26000213623047,109.83000183105469,225.22000122070312,45.959999084472656,50.470001220703125,109.87999725341797,28.639999389648438,40.7599983215332,132.41000366210938
2018-04-27,162.32000732421875,11.109999656677246,120.22000122070312,173.58999633789062,146.47999572753906,45.16999816894531,196.1199951171875,95.81999969482422,110.1500015258789,226.3300018310547,45.529998779296875,51.11000061035156,111.3499984741211,27.799999237060547,40.93000030517578,133.0500030517578
2018-04-30,165.25999450683594,10.880000114440918,120.98999786376953,172.0,144.9600067138672,44.81999969482422,194.38999938964844,93.5199966430664,109.83000183105469,224.89999389648438,45.66999816894531,51.0099983215332,110.83000183105469,27.790000915527344,40.91999816894531,133.25999450683594
2018-05-01,169.10000610351562,11.130000114440918,123.11000061035156,173.86000061035156,145.0,45.20000076293945,195.02000427246094,95.0,108.4800033569336,227.13999938964844,45.95000076293945,50.81999969482422,111.72000122070312,27.670000076293945,41.0,133.22000122070312
2018-05-02,176.57000732421875,10.970000267028809,122.81999969482422,176.07000732421875,142.4499969482422,45.849998474121094,194.5,93.51000213623047,107.62999725341797,226.30999755859375,45.5099983215332,50.2599983215332,111.9800033569336,27.920000076293945,40.810001373291016,132.49000549316406
2018-05-03,176.88999938964844,10.930000305175781,124.41000366210938,174.02000427246094,141.99000549316406,44.939998626708984,195.67999267578125,94.06999969482422,107.69000244140625,232.99000549316406,45.060001373291016,50.310001373291016,113.13999938964844,27.729999542236328,40.0,132.8699951171875
